Wyciskanie leżąc
Martwy ciąg
Przysiad tylni
Wyciskanie żołnerskie
Przysiad przedni
Wiosłowanie
Podciąganie
Wykrok
Zakrok
Brzuszek
Deska przodem
Spacer farmera
Przysiad bułgarski
Mostek biodrami
Deska bokiem
